"sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note","group"
"MG165.1",1.6546686392479,0.0763779255403778,0.402619669095743,7.52174874802428,1.72159294183691,86.0883401450656,85.8303333333334,0.0948707988238588,"","MG1655"
"MG165.2",1.75035070923616,0.10909129068068,0.333975630609843,8.1174608411398,2.07544238869839,89.8919218114662,89.6426666666667,0.201913695206388,"","MG1655"
"MG165.3",1.65844247806302,0.0895701371756267,0.379814517658876,7.53812789920031,1.82496231274257,86.2097497069919,85.9703333333333,0.144583009383205,"","MG1655"
"MG165.4",1.7331562659535,0.109156342365193,0.344616797763481,7.83440129155347,2.01135633857195,89.5062541165839,89.1876666666667,0.103542513594771,"","MG1655"
"MG165.5",1.73557836836515,0.127544329348978,0.306328510132577,8.27315626488891,2.26275765275637,88.7650088714974,88.4305,0.131375565548523,"","MG1655"
"MG165.6",1.67332681804953,0.114065076340516,0.334569659234651,7.8166042345279,2.07175743952863,86.4089923435119,86.0846666666667,0.11084685428293,"","MG1655"
"MG165.7",1.8742641476321,0.167905059630284,0.25679914843984,9.02930756166057,2.6991802144637,94.2228024587698,93.8656666666666,0.11001241259794,"","MG1655"
"MG165.8",1.7132861438232,0.117936520854603,0.327952335012428,7.94231780541625,2.11356074209283,88.2460192571549,87.9288333333334,0.107502050435727,"","MG1655"
"MG165.9",1.67245173401181,0.0805968867607531,0.399482672781232,7.46764594859381,1.73511200306686,87.0935661890911,86.8441666666667,0.098543508466229,"","MG1655"
"MG165.10",1.76050063911179,0.108324412735732,0.340084542051654,8.01188451619249,2.03816138298537,90.6095342078395,90.2995,0.099033197785687,"","MG1655"
"MG165.11",1.82503609220138,0.130705287416983,0.313109337721672,8.1827583956668,2.21375442075156,93.5268458125532,93.1898333333333,0.129374235823857,"","MG1655"
"MG165.12",1.7963222071285,0.134047328714814,0.307564645688186,8.18608201632548,2.25366338516901,92.022764722801,91.6268333333333,0.0932509268769978,"","MG1655"
"MG165.13",1.82426726203243,0.139526563337116,0.299117531488386,8.3282043991633,2.31730710370234,93.16981319336,92.8286666666666,0.151165077258038,"","MG1655"
"MG165.14",1.68139522492043,0.0713289819551283,0.4116593804983,7.57113289679991,1.68378813503755,87.4161271945952,87.1313333333334,0.078346712323386,"","MG1655"
"MG165.15",1.83963459751895,0.124429536497617,0.315260373662974,8.32184618479847,2.1986498731393,94.0470383796129,93.7153333333333,0.153768773027827,"","MG1655"
"MG165.16",1.80118793376084,0.135291207639866,0.297792186814271,8.43101126883259,2.32762043885406,91.8127636720646,91.4626666666667,0.15616420269548,"","MG1655"
"SL598R.1",1.45504668151543,0.046898530886517,0.424952094548992,8.00571274941036,1.63111840005305,75.056919887685,74.8305,0.0930548176284903,"","SL598R"
"SL598R.2",1.45854187910659,0.0502306680062944,0.411117647122774,8.10843516353747,1.68600687761999,75.0755056145988,74.8398333333334,0.0792287370055223,"","SL598R"
"SL598R.3",1.4357896563429,0.0502708823613249,0.405204387103418,8.18452117030162,1.71061124366118,73.7912450042555,73.5498333333333,0.085056687964933,"","SL598R"
"SL598R.4",1.44029444153513,0.0549147892080035,0.386639795602205,8.34871846679752,1.79274660405907,73.7681461800833,73.5375,0.0929360587883576,"","SL598R"
"SL598R.5",1.46480620692661,0.0560656262408064,0.391744290411111,8.22967572520111,1.76938681054555,75.1992937848533,74.9693333333333,0.0856167649538936,"","SL598R"
"SL598R.6",1.52764982831535,0.0554662197160765,0.396457300478535,8.27006550257069,1.74835267183451,78.3734998230474,78.1348333333333,0.097299913801429,"","SL598R"
"SL598R.7",1.47650068060106,0.0494385605508081,0.413198338157825,8.13808319217469,1.67751686429869,75.960291065573,75.7513333333333,0.0917602783867924,"","SL598R"
"SL598R.8",1.45508801371683,0.0532778692611748,0.402048530839893,8.13334300676621,1.72403858586907,74.850518624168,74.624,0.0836350412615444,"","SL598R"
"SL598R.9",1.46021633407771,0.0480520196187814,0.423916339431661,7.97467401159176,1.63510371289118,75.3662323783833,75.1333333333333,0.0975454703442798,"","SL598R"
"SL598R.10",1.42796243882327,0.0504213730361818,0.400872757871816,8.25109747193144,1.72909524767853,73.2914482563212,73.0508333333334,0.0823757620104412,"","SL598R"
"SL598R.11",1.45441971334978,0.0473315945614868,0.412777313132417,8.21774729966947,1.67922789966315,74.7117490865443,74.4845,0.08254611097093,"","SL598R"
"SL598R.12",1.51258575492024,0.0576282104317566,0.393640033035919,8.2022139948173,1.76086556850964,77.6951380068274,77.4403333333333,0.0780255589952208,"","SL598R"
"SL598R.13",1.53324354276257,0.0553035927186976,0.397360991387309,8.26846788811977,1.74437651300385,78.6642058344412,78.4161666666667,0.0894737553670989,"","SL598R"
"SL598R.14",1.50388516354086,0.0586734584829743,0.388063919327914,8.25643268972127,1.78616755136732,77.1608643493783,76.8933333333333,0.0701732398565336,"","SL598R"
"SL598R.15",1.4857161644061,0.0579992098729166,0.382675476422291,8.37106823389433,1.81131852775181,76.0560997183489,75.788,0.067286937042446,"","SL598R"
"SL598R.16",1.43285219850887,0.0554188883035558,0.38103996040011,8.43233513641106,1.81909314664034,73.2628961061779,73.0165,0.0634182541494423,"","SL598R"
