sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,group,Fold.doubling,AVERAGE-tgen,Fold.growth,AVERAGE-r
IF2.WT.1.1,1.286470764,0.001256904,0.480665001,14.41758574,1.442058771,12.35149089,12.20516667,0.030988811,,IF2-WT,1.018914394,1.415289429,0.980870282,0.490039315
IF2.WT.1.2,1.272427186,0.000794419,0.490203353,15.05130698,1.413999264,11.41703573,11.2965,0.0306343,,IF2-WT,0.999088409,1.415289429,1.000334745,0.490039315
IF2.WT.2.1,1.319826211,0.000856639,0.50954565,14.40370467,1.360324008,12.6831743,12.76083333,0.048115053,,IF2-WT,0.961163123,1.415289429,1.039805653,0.490039315
IF2.WT.2.2,1.383366655,0.002086388,0.475445378,13.66157278,1.457890248,14.31870258,14.15533333,0.036456279,,IF2-WT,1.030100428,1.415289429,0.970218846,0.490039315
IF2.WT.3.1,1.15347652,0.002510158,0.494337191,12.39642008,1.402174857,13.38689224,13.1885,0.039885362,,IF2-WT,0.990733646,1.415289429,1.008770473,0.490039315
IF2.DSM5456.1.1,1.334527888,0.002045104,0.457068719,14.17587879,1.516505401,13.13865531,12.99866667,0.031583011,,IF2-DSM5456,1.071516094,1.415289429,0.932718467,0.490039315
IF2.DSM5456.1.2,1.318361217,0.002057492,0.4553524,14.18921897,1.522221429,12.96267239,12.82966667,0.028770656,,IF2-DSM5456,1.075554863,1.415289429,0.929216057,0.490039315
IF2.DSM5456.2.1,1.308054802,0.004854984,0.441851705,12.65712465,1.568732616,14.84574061,14.81966667,0.045158584,,IF2-DSM5456,1.108418239,1.415289429,0.901665828,0.490039315
IF2.DSM5456.2.2,1.421145465,0.007394569,0.420145603,12.50341755,1.649778494,16.34757081,16.15216667,0.037562381,,IF2-DSM5456,1.165682764,1.415289429,0.857371216,0.490039315
IF2.DSM5456.3.1,1.370224674,0.001575383,0.469098308,14.42572038,1.477616032,13.14810521,13.00183333,0.031938146,,IF2-DSM5456,1.044038061,1.415289429,0.957266681,0.490039315
IF2.DSM15908.1.1,1.591572251,0.002311815,0.415954779,15.70601272,1.666400329,13.31450757,13.11583333,0.036483777,,IF2-DSM15908,1.177427242,1.415289429,0.8488192,0.490039315
IF2.DSM15908.1.2,1.321816572,0.000783429,0.475311966,15.63235234,1.458299455,11.11047165,11.02633333,0.027018984,,IF2-DSM15908,1.030389561,1.415289429,0.969946597,0.490039315
IF2.DSM15908.2.1,1.276128253,0.001262793,0.481014973,14.38057045,1.441009572,12.29882782,12.39616667,0.042361224,,IF2-DSM15908,1.018173062,1.415289429,0.981584454,0.490039315
IF2.DSM15908.2.2,1.393339471,0.00133433,0.467136317,14.87803626,1.483822078,12.7489128,12.60166667,0.032190164,,IF2-DSM15908,1.048423062,1.415289429,0.953262938,0.490039315
IF2.DSM15908.3.1,1.414894437,0.006157828,0.483345741,11.23983109,1.434060801,18.0476543,17.803,0.050756775,,IF2-DSM15908,1.013263274,1.415289429,0.986340742,0.490039315
