sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,group,Fold.doubling,AVERAGE-WT-DT,Fold.growth,AVERAGE-WT-RATE
dG1.IF2.pH7.05,0.533393964,0.001376049,0.89140421,6.683231936,0.777590203,9.235114002,9.274125,0.016700713,,dG1-pH7,1.004000565,0.774491798,0.969866813,0.919099611
WT.IF2.pH8.01,0.608467574,0.013591911,1.094788293,3.451697105,0.633133534,12.49042014,12.465375,0.018751793,,WT-pH8,0.953657146,0.663900582,1.040121118,1.052558471
WT.IF2.pH8.02,0.645305835,0.017469589,1.076918841,3.325986727,0.643639199,13.32461595,13.30825,0.01246934,,WT-pH8,0.969481301,0.663900582,1.023143959,1.052558471
WT.IF2.pH8.03,0.607473611,0.021375398,0.915431203,3.617144306,0.757181073,12.35827615,12.323375,0.019325054,,WT-pH8,1.140503705,0.663900582,0.869720047,1.052558471
WT.IF2.pH8.04,0.616992384,0.024580622,0.986385808,3.226165169,0.702714065,12.791868,12.7655,0.028972279,,WT-pH8,1.058462795,0.663900582,0.937131604,1.052558471
WT.IF2.pH8.05,0.499659409,0.009327308,1.189268209,3.331575217,0.582835037,10.31925588,10.307875,0.029386587,,WT-pH8,0.877895054,0.663900582,1.129883272,1.052558471
dN.IF2.pH8.01,0.536038049,0.00266376,0.669474903,7.915882509,1.035359469,8.617727025,8.631875,0.013507816,,dN-pH8,1.559509809,0.663900582,0.636045333,1.052558471
dN.IF2.pH8.02,0.574826866,0.002896471,0.656440696,8.051792461,1.055917443,9.163059481,9.151,0.021378341,,dN-pH8,1.590475249,0.663900582,0.623661976,1.052558471
dN.IF2.pH8.03,0.54437684,0.002335413,0.665834856,8.180938117,1.041019668,8.608037673,8.580375,0.01723887,,dN-pH8,1.568035481,0.663900582,0.632587048,1.052558471
dN.IF2.pH8.04,0.542824055,0.001693287,0.729615027,7.904153372,0.950017687,8.734894221,8.714125,0.017577854,,dN-pH8,1.430963782,0.663900582,0.693182419,1.052558471
dN.IF2.pH8.05,0.530222493,0.001598757,0.728153714,7.966793329,0.951924253,8.498974054,8.516875,0.013335726,,dN-pH8,1.433835546,0.663900582,0.691794076,1.052558471
dG1.IF2.pH8.01,0.423496183,0.000120658,0.53177939,15.35045519,1.30344875,3.670790132,3.73125,0.009365315,,dG1-pH8,1.963319187,0.663900582,0.505225509,1.052558471
dG1.IF2.pH8.02,0.460288682,0.000114424,0.541815711,15.31784368,1.279304321,4.003747316,4.116375,0.012657079,,dG1-pH8,1.926951649,0.663900582,0.514760677,1.052558471
dG1.IF2.pH8.03,0.42861195,6.60283753293765e-05,0.569706817,15.40804558,1.216673489,3.688108483,3.759625,0.00909347,,dG1-pH8,1.832613983,0.663900582,0.541259068,1.052558471
dG1.IF2.pH8.04,0.466479481,0.000420573,0.45298237,15.47620919,1.530185778,3.996691067,4.13575,0.017102772,,dG1-pH8,2.304841749,0.663900582,0.430363142,1.052558471
dG1.IF2.pH8.05,0.424343863,0.000108591,0.528717948,15.64247213,1.310996123,3.555872848,3.607375,0.008529843,,dG1-pH8,1.974687414,0.663900582,0.502316938,1.052558471
