sample,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,group,Fold.doubling,AVERAGE-tgen,Fold.growth,AVERAGE-r
IF2.WT.1.1,1.365438272,0.005104975,0.565159714,9.882639222,1.226462474,14.26729596,14.10366667,0.038600988,,IF2-WT,1.026934648,1.194294569,0.969527773,0.582922666
IF2.WT.1.2,1.339363047,0.01326408,0.612955136,7.512682214,1.130828572,17.15060321,17.00183333,0.03459376,,IF2-WT,0.946859008,1.194294569,1.051520505,0.582922666
IF2.WT.2.1,1.306203861,0.003430003,0.606947172,9.78617257,1.14202226,13.77465069,13.63316667,0.030964646,,IF2-WT,0.956231644,1.194294569,1.041213882,0.582922666
IF2.WT.2.2,1.35310384,0.019521863,0.612383765,6.897780479,1.131883665,18.14817768,17.97516667,0.044887278,,IF2-WT,0.947742453,1.194294569,1.050540323,0.582922666
IF2.WT.3.1,1.486273404,0.028137341,0.517167541,7.633535304,1.340275878,18.82447796,18.5895,0.05875056,,IF2-WT,1.122232247,1.194294569,0.887197517,0.582922666
IF2.DSM5456.1.1,1.275843643,0.029299833,0.610475703,6.143648637,1.135421404,18.05562568,17.88366667,0.049481277,,IF2-DSM5456,0.950704653,1.194294569,1.047267055,0.582922666
IF2.DSM5456.1.2,1.339876934,0.028159672,0.583117987,6.587348774,1.188691134,18.36988023,18.19866667,0.045775351,,IF2-DSM5456,0.995308163,1.194294569,1.000335072,0.582922666
IF2.DSM5456.2.1,1.300593858,0.036405904,0.500711795,7.084822703,1.384323652,17.16060049,16.9485,0.060880484,,IF2-DSM5456,1.159114081,1.194294569,0.858967792,0.582922666
IF2.DSM5456.2.2,1.368522951,0.033049603,0.576132579,6.420451898,1.2031036,18.98281328,18.79366667,0.05554915,,IF2-DSM5456,1.007375928,1.194294569,0.988351652,0.582922666
IF2.DSM5456.3.1,1.434780124,0.04276343,0.524206166,6.643999539,1.322279717,19.56045833,19.314,0.074304469,,IF2-DSM5456,1.107163802,1.194294569,0.899272231,0.582922666
IF2.DSM15908.1.1,1.32846401,0.033841289,0.510531452,7.138234006,1.357697312,17.46515557,17.24983333,0.059679917,,IF2-DSM15908,1.136819464,1.194294569,0.87581335,0.582922666
IF2.DSM15908.1.2,1.335871801,0.018850126,0.688930758,6.164057185,1.006120242,18.90089187,18.757,0.040500867,,IF2-DSM15908,0.842438932,1.194294569,1.181856185,0.582922666
IF2.DSM15908.2.1,1.365045402,0.030048974,0.611080447,6.208438525,1.134297757,19.23179839,19.05683333,0.049522904,,IF2-DSM15908,0.949763807,1.194294569,1.048304489,0.582922666
