ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
153925,,CCUG 51669,0,Aggregatibacter actinomycetemcomitans,714.287,microaerophile
135780,,"CIP 70.73, ATCC 33389, CCUG 3715, NCTC 5906",1,Aggregatibacter aphrophilus,2537561844,microaerophile
,,,,,2841352428,
,,,,,985008.3,
,,,,,985008.4,
,,,,,GCA_000226495,
,,,,,GCA_900636915,
147819,,"CCUG 34290, ATCC 7901",0,Aggregatibacter aphrophilus,2834846146,microaerophile
,,,,,732.23,
,,,,,GCA_001680805,
153909,,CCUG 51588,0,Aggregatibacter aphrophilus,732.127,microaerophile
157204,PN_528,"CCUG 70536, DSM 105094",1,Aggregatibacter kilianii,2025884.3,microaerophile
,,,,,2868668594,
,,,,,GCA_003130255,
11755,HK316,"DSM 21418, ATCC 33393, CCUG 10787, CCUG 12838, CIP 103292, KCTC 5968, NCTC 10977, CCM 6052",1,Aggregatibacter segnis,2811995232,microaerophile
,,,,,649989906,
,,,,,739.212,
,,,,,888057.2,
,,,,,888057.3,
,,,,,GCA_000185305,
,,,,,GCA_900476035,
152406,,CCUG 46700,0,Aggregatibacter segnis,2868664360,microaerophile
,,,,,739.8,
,,,,,GCA_003130095,
153966,,CCUG 51794,0,Aggregatibacter segnis,739.7,microaerophile
6668,,"DSM 18527, JCM 14202, NRIC 0689, CIP 109571",1,Agrilactobacillus composti,1236950.3,microaerophile
,,,,,1423734.3,
,,,,,2576861770,
,,,,,2700989152,
,,,,,GCA_000583695,
,,,,,GCA_001436375,
132611,AR33,"DSM 101731, LMG 29235, JCM 32431",1,Agromyces aureus,453304.3,microaerophile
,,,,,453304.8,
,,,,,GCA_001660485,
,,,,,GCA_009749365,
168515,FW100M-8,"KACC 19308, NBRC 113048",1,Agromyces protaetiae,CP03549,microaerophile
,,,,,GCA_004135405,
