ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
,,,,,GCA_007992035,
166523,ZW163,"NCIMB 15193, CCM 8926, CCTCC AB 2019015",1,Lacticaseibacillus hulanensis,GCA_004010095,facultative aerobe
133577,,"KCTC 12976, JCM 15530, DCY 51",1,Secundilactobacillus kimchicus,1302272.4,facultative aerobe
,,,,,1302272.5,
,,,,,2657245468,
,,,,,2734481936,
,,,,,GCA_001313205,
,,,,,GCA_001433995,
158452,CLIP2015/00305,"DSM 107638, CIP 111635, CLIP 2015/00305",1,Listeria thailandensis,GCA_900576925,facultative aerobe
134195,,"KCTC 12570, LMG 22578, KMM 6038",1,Mariniflexile gromovii,362523.3,facultative aerobe
,,,,,GCA_017814435,
478,SM19,"DSM 15157, CCM 7048, CIP 107627, NCIMB 13907",1,Marinobacter lipolyticus,1318628.3,facultative aerobe
,,,,,2571042755,
,,,,,GCA_000397065,
459,KW-40,"DSM 11526, ATCC 700074, JCM 21667, CIP 105236, IAM 15212, NBRC 102606, CECT 7200",0,Marinobacterium iners,1122198.3,facultative aerobe
,,,,,2634166328,
,,,,,GCA_900107855,
1243,4T19,"DSM 17723, CIP 109816, KACC 11279, JCM 16399",1,Metabacillus niabensis,2926518972,facultative aerobe
134120,PM1,"ATCC BAA-1232, LMG 22953",1,Methylibium petroleiphilum,420662.15,facultative aerobe
,,,,,420662.29,
,,,,,640069319,
,,,,,GCA_000015725,
465,IRE-31,"DSM 11525, ATCC 700072, IRE 31, CIP 105235",1,Microbulbifer hydrolyticus,2861623431,facultative aerobe
,,,,,48074.4,
,,,,,GCA_014202835,
14133,TPT18,"DSM 18602, ATCC BAA-1391, VKM B-2447",1,Mucilaginibacter gracilis,2775506711,facultative aerobe
,,,,,423350.3,
,,,,,GCA_003633615,
14134,TPT56,"DSM 18603, ATCC BAA-1394, VKM B-2446",1,Mucilaginibacter paludis,2506520020,facultative aerobe
,,,,,714943.3,
,,,,,GCA_000166195,
8628,1642,"DSM 22457, ATCC BAA-1895",1,Mycoplasmopsis mucosicanis,GCA_006546935,facultative aerobe
11283,S3-22,"DSM 22306, CCTCC AB 209086, KACC 14056",1,Neptunomonas antarctica,2645727840,facultative aerobe
,,,,,2681813508,
,,,,,619304.5,
,,,,,GCA_001305295,
,,,,,GCA_900156635,
