ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
318,,,,,,#Environmental,#Terrestrial,#Soil
318,,,,,,#Environmental,#Terrestrial,#Soil
318,,,,,,#Environmental,#Terrestrial,#Soil
141589,"Achromobacter denitrificans","CCUG 3353, IAM 12556, JCM 20635, LMG 3412, NCIMB 9387","Soil or water using allo-isocitrate as sole carbon source###Soil or water using Ls-alloisocitrate",,,#Environmental,#Terrestrial,#Soil
141589,,,,,,#Environmental,#Terrestrial,#Soil
140507,"Achromobacter kerstersii","CCUG 62449, LMG 3441",soil,,,#Environmental,#Terrestrial,#Soil
140507,,,,,,#Environmental,#Terrestrial,#Soil
140854,"Achromobacter marplatensis","CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817","Environment, Soil by selective enrichment with pentachlorophenol###Soil contaminated with pentachlorophenol###Soil",Argentina,"Middle and South America",#Environmental,#Terrestrial,#Soil
140854,,,,,,#Environmental,#Terrestrial,#Soil
140854,,,,,,#Environmental,#Terrestrial,#Soil
309,"Achromobacter ruhlandii","DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494","Environment, Soil###soil",USA,"North America",#Environmental,#Terrestrial,#Soil
309,,,,,,#Environmental,#Terrestrial,#Soil
309,,,,,,#Environmental,#Terrestrial,#Soil
311,"Achromobacter sp.","DSM 30031, ATCC 337, CCUG 228, NCTC 3233","ropy milk",,,#Environmental,"#Microbial community",
311,,,,,,#Engineered,"#Food production","#Dairy product"
311,,,,,,#Environmental,"#Microbial community",
311,,,,,,#Engineered,"#Food production","#Dairy product"
312,"Achromobacter sp.","DSM 30128",soil,,,#Environmental,#Terrestrial,#Soil
315,"Achromobacter sp.","DSM 22913",soil,"French Polynesia","Australia and Oceania",#Environmental,#Terrestrial,#Soil
22903,"Achromobacter sp.","DSM 26587","soil contaminated with polychlorinated biphenyls","Czech Republic",Europe,#Environmental,#Terrestrial,#Soil
22903,,,,,,#Engineered,#Contamination,
23815,"Achromobacter sp.","DSM 28457, CN 15","water, oxidation pond, tailings Bozinta",Romania,Europe,#Environmental,#Aquatic,"#Pond (small)"
143153,"Achromobacter sp.","CCUG 17510",Soil,France,Europe,#Environmental,#Terrestrial,#Soil
321,"Achromobacter spanius","DSM 11386",soil,Germany,Europe,#Environmental,#Terrestrial,#Soil
299,"Achromobacter xylosoxidans","DSM 11852",soil,Austria,Europe,#Environmental,#Terrestrial,#Soil
130853,"Achromobacter xylosoxidans","DSM 29570","marine sediment",India,Asia,#Environmental,#Aquatic,#Sediment
130853,,,,,,#Environmental,#Aquatic,#Marine
142779,"Achromobacter xylosoxidans","CCUG 14603",Water,France,Europe,#Environmental,#Aquatic,
156471,"Achromobacter xylosoxidans","CCUG 61957, LMG 1865",Soil,Japan,Asia,#Environmental,#Terrestrial,#Soil
17960,"Acidaminobacter hydrogenoformans","DSM 2784, Glu 65, CIP 106102","Environment, Estuarine mud###mud",Netherlands,Europe,#Environmental,#Terrestrial,"#Mud (Sludge)"
17960,,,,,,#Environmental,#Terrestrial,"#Mud (Sludge)"
16643,"Acidianus ambivalens","DSM 3772, JCM 9191, LEI 10","Solfataric waterhole at Leirhukur fissure###solfataric mud",Iceland,Europe,#Environmental,#Terrestrial,#Volcanic
16643,,,,,,#Environmental,#Terrestrial,"#Mud (Sludge)"
