,Exp1,Exp2,Exp3
noluc-noif2,14.375,17.5,13.125
yesluc-noif2,50,38.75,54.375
yesluc-wtif2-1,2256.25,2165,2336.25
yesluc-wtif2-2,2213.75,2238.75,2255.625
yesluc-wtif2-3,2613.125,2516.25,2821.25
yesluc-dN-1,1353.75,1275,1360.625
yesluc-dN-2,1376.25,1383.125,1296.25
yesluc-dN-3,1082.5,905,1081.25
