,Exp1,Exp2,Exp3
noluc-noif2,0.006040974,0.007354229,0.005515672
yesluc-noif2,0.021012082,0.016284364,0.022850639
yesluc-wtif2,0.946594292,0.939677815,1.113727894
yesluc-dN,0.558833829,0.568114166,0.429872177
